recipe_id,approved_at,aspect_ratio,beauty_url,brand,brand_id,buzz_id,compilation_id,compilation_name,compilation_description,created_at,language,name,slug,thumbnail_url,video_url,yields
recipe:4704,1553195044,1:1,,,,,848,Protein-Packed Snacks,"Whether you’re trying to be healthy, pulling an all-nighter, or just trying to get through the day, protein-packed snacks are your best friends. That’s because protein can give you an energy boost and help you stay fuller longer. From <a href=""https://tasty.co/recipe/avocado-deviled-eggs"">avocado deviled eggs</a> to <a href=""https://tasty.co/recipe/cacao-chia-pudding"">cacao chia pudding</a>, these snacks are full of protein-packed ingredients like Greek yogurt and almond butter, which will ensure you don’t get hangry anytime soon.",1546890391,eng,Low-Carb Avocado Chicken Salad,low-carb-avocado-chicken-salad,https://img.buzzfeed.com/thumbnailer-prod-us-east-1/45b4efeb5d2c4d29970344ae165615ab/FixedFBFinal.jpg,https://vid.tasty.co/output/121934/hls24_1546897597.m3u8,Servings: 4
recipe:4704,1553195044,1:1,,,,,1353,5 Easy & Healthy Avocado Recipes,,1578291052,eng,Low-Carb Avocado Chicken Salad,low-carb-avocado-chicken-salad,https://img.buzzfeed.com/thumbnailer-prod-us-east-1/45b4efeb5d2c4d29970344ae165615ab/FixedFBFinal.jpg,https://vid.tasty.co/output/121934/hls24_1546897597.m3u8,Servings: 4
recipe:4704,1553195044,1:1,,,,,1403,Healthy And Delicious Appetisers ,,1582700418,eng,Low-Carb Avocado Chicken Salad,low-carb-avocado-chicken-salad,https://img.buzzfeed.com/thumbnailer-prod-us-east-1/45b4efeb5d2c4d29970344ae165615ab/FixedFBFinal.jpg,https://vid.tasty.co/output/121934/hls24_1546897597.m3u8,Servings: 4
recipe:4704,1553195044,1:1,,,,,1675,Healthy Snacks For Late-night Cravings,"Can't sleep? Want to snack? These delicious snacks are a quick and easy fix to all your after-midnight hunger pangs. Chomp down on some <a href= ""https://tasty.co/recipe/hummus-and-carrot-sticks"">hummus and carrot sticks</a> or devour a couple handfuls of delicious <a href= ""https://tasty.co/recipe/spicy-roasted-chickpeas"">oven-roasted chickpeas</a>. And once you're full and satisfied, sail softly back into dreamland!",1598634358,eng,Low-Carb Avocado Chicken Salad,low-carb-avocado-chicken-salad,https://img.buzzfeed.com/thumbnailer-prod-us-east-1/45b4efeb5d2c4d29970344ae165615ab/FixedFBFinal.jpg,https://vid.tasty.co/output/121934/hls24_1546897597.m3u8,Servings: 4
recipe:4704,1553195044,1:1,,,,,2455,Easy Snacks To Pack For Your Next Beach Trip,"Planning a trip to the beach to celebrate the coming of summer? These easy snacks will make sure you're fueled and ready for the next game of water polo. From <a href=""https://tasty.co/recipe/garlic-parmesan-and-herb-pita-chips"">parmesan garlic & herb pita chips</a> to super easy to make <a href=""https://tasty.co/recipe/after-school-banana-roll-ups"">banana roll-ups</a>, these treats are beach-friendly and hassle free. So what are you waiting for? Pack up your picnic basket with these goodies: summer's here! ",1621947459,eng,Low-Carb Avocado Chicken Salad,low-carb-avocado-chicken-salad,https://img.buzzfeed.com/thumbnailer-prod-us-east-1/45b4efeb5d2c4d29970344ae165615ab/FixedFBFinal.jpg,https://vid.tasty.co/output/121934/hls24_1546897597.m3u8,Servings: 4
recipe:4704,1553195044,1:1,,,,,2471,Low Carb Meals For A Healthy You,"Looking for low-carb options? We've got plenty for you! The crispy <a href=""https://tasty.co/recipe/easy-chicken-piccata"">Chicken Piccata</a> and the saucy <a href=""https://tasty.co/recipe/ratatouille"">Ratatouille Lasagna</a> each pack tons of flavor without going overboard on carbs — and they pair well with just about anything. The hardest part? Choosing which dish to make first!",1622179434,eng,Low-Carb Avocado Chicken Salad,low-carb-avocado-chicken-salad,https://img.buzzfeed.com/thumbnailer-prod-us-east-1/45b4efeb5d2c4d29970344ae165615ab/FixedFBFinal.jpg,https://vid.tasty.co/output/121934/hls24_1546897597.m3u8,Servings: 4
recipe:4704,1553195044,1:1,,,,,2741,31 Days 31 Avocado Recipes ," You can never go wrong with avocado, and these easy mouthwatering recipes can enjoyed at any time of the day. Start your day with a wholesome <a href=""https://tasty.co/recipe/radish-avocado-toast"">Raddish Avocado Toast</a> or enjoy a <a href=""https://tasty.co/recipe/salmon-crab-stack"">Salmon Crab Seafood Stack</a> on a lunch date with your special someone. But why settle for one when you have 31 options to try from? Avo-fun for the whole month! ",1628697577,eng,Low-Carb Avocado Chicken Salad,low-carb-avocado-chicken-salad,https://img.buzzfeed.com/thumbnailer-prod-us-east-1/45b4efeb5d2c4d29970344ae165615ab/FixedFBFinal.jpg,https://vid.tasty.co/output/121934/hls24_1546897597.m3u8,Servings: 4
recipe:4704,1553195044,1:1,,,,,2823,Make Healthy Snacks Tasty With These Recipes,,1631878927,eng,Low-Carb Avocado Chicken Salad,low-carb-avocado-chicken-salad,https://img.buzzfeed.com/thumbnailer-prod-us-east-1/45b4efeb5d2c4d29970344ae165615ab/FixedFBFinal.jpg,https://vid.tasty.co/output/121934/hls24_1546897597.m3u8,Servings: 4
recipe:4704,1553195044,1:1,,,,,2850,Recipes For When You Don't Feel Like Working Out,"We've all had those days when you just don't feel like working out. Regardless of whether or not you make it to the gym, these recipes will keep you feeling engaged, alert, and fueled up for whatever comes your way. From <a href=""https://tasty.co/recipe/keto-caprese-avocado-bowls"">caprese avocado bowls</a> to <a href=""https://tasty.co/recipe/spinach-pasta"">spinach pasta</a>, these meals are nutritious, delicious, and nourishing.",1632478266,eng,Low-Carb Avocado Chicken Salad,low-carb-avocado-chicken-salad,https://img.buzzfeed.com/thumbnailer-prod-us-east-1/45b4efeb5d2c4d29970344ae165615ab/FixedFBFinal.jpg,https://vid.tasty.co/output/121934/hls24_1546897597.m3u8,Servings: 4
recipe:4704,1553195044,1:1,,,,,3382,Use Your Yogurt Wisely!,"With so many health benefits, you ought to use yogurt wisely and creatively! It is easy to digest, packed with vitamins, and a rich source of protein as well. Make the <a href=""https://tasty.co/recipe/honey-granola-yogurt-bark"">Honey Granola Yogurt Bark</a> for your on-the-go meals. <a href=""https://tasty.co/recipe/paprika-spiced-chicken-with-lemon-yogurt-and-crispy-potatoes"">Paprika-Spiced Chicken With Lemon Yogurt And Crispy Potatoes</a> is the perfect dinner recipe as it is delicious, easy and healthy, all at the same time!",1669724060,eng,Low-Carb Avocado Chicken Salad,low-carb-avocado-chicken-salad,https://img.buzzfeed.com/thumbnailer-prod-us-east-1/45b4efeb5d2c4d29970344ae165615ab/FixedFBFinal.jpg,https://vid.tasty.co/output/121934/hls24_1546897597.m3u8,Servings: 4
